sentiment,tweet
0,@annakel im ill  i had hay fever but i got that under control now i have a really bad cough lol but im still going lol got work today =(
0,I am bored 
1,"Can't figure out what to wear...need a roommate...hmm...maybe I'll move in with Lindsey?? WOW, what a great idea! "
1,"@heathcrush I worked a long shift. Was supposed to be 9 hrs, but they cut me loose a little early.  How'saboutyou?"
1,gooooodddd morning twitterpies 
1,@TheSwelleLife You and I are ruining Britain!  x
1,i am really reading martial art and warrior quotes. cuz im gangster. ha. makes me want to re-read the art of war by sun tzu. 
1,"waiting for joey, learning to play the guitar  taylor swift songs are the best !!!!!!"
1,Am listen teh nu  &quot;Mustard Pimp - Cherry &amp; Kiwi EP&quot; really amazing... Merci Baron... LOVE LOVE LOVE these French guys 
1,@KATaylor007 looks like a ritzy joint. I'm past excited.so many adventures await! So many awesome people to meet.  u getting a pink dress?
0,no time to study for finals....def gonna fail it all! 
1,"shopping, then picking up the grandparents "
0,"Argh, got up early for Girls Aloud on Freshly Squeezed and it was just the video "
1,@chelseachan HP 6. I saw the movie preview and was like &quot;I so don't remember that part&quot; so now I'm reading it again. 
1,"Ight, bed right now, Mass in the morning, Day spent working on the sites, then the gym and dinner with the fam bam  Goodnight everyone ;)"
1,study hard this time...get ready for exam 
1,@textualoffender smart I is!  @jhayu
1,teddy cussed for no reason and t money cried for no reason 
1,I think its time for bed. I hope I wake up to some happy text messages from my frans.  &lt;3
1,Please Don't wait til the Last Minute for shipping these FREE shirts! M L mostly and some xl xxl support@tshirtsgonewild.net 
0,"At shoe carnival testing out runners for nathan. Tj maxx was, as usual, a disappointment. All their cute shit is out of my $$$ range "
1,"@icklesal http://twitpic.com/6s06d - I HAVE ONE TOO! w/ the slitheen, daleks, stone angels "
0,@owlsaregreat if only stirling wasnt crap and somewhere was open! 
0,@BeckyBuckwild I actually thought the reunion was going to be interesting 
0,"When i shop, i really do drop  hahaha i have never met a shopaholic malee before!!!"
1,@AngelaCurrent howdy girl!!! how are YOU? How is your dad? things? 
1,Just over two weeks left at LTS and much left to do before I go. A day without meetings means I have no excuses for not blitzing my inbox 
1,@kayent does it auto refresh? mine still shows 2 songs. Nice ones btw 
1,i guess it will take a real study that i need to undertake before i find #wolframalpha useful! hehe 
1,Just got done playing #tennis for 2 hours with a friend. Boy is it good to #exercize at night in Arizona when it's only 95 degrees. 
1,Drinking and tweeting doesn't mix! 
1,&quot;Light in the night&quot; With this I end my blipping tonight.. See ya tomorrow!  â« http://blip.fm/~7ebpc
1,Having a Guinness in Galway!  Drunk Irishmen singing next to us and it's only 4:30 
1,@GarveyBen eep I've never had a follow friday individually before. Thankyou  x
0,School tomorrow  i wanna know why the head of 6th form wants to see me
0,"also, new iphone software is pretty cool. still reaaaaaally want the 3gs, though.  SO BAD."
1,@RSDixon Good morning how are you 
1,"@Rosie21 I thought that was pretty cool  omg, we forgot about the preist song hats the best song! I think its the best movie in mine "
1,Thinking I may go to bed!!  If i can sleep that is!
0,Is so tired from being up until 3am studying for my midterm I have today! Boo  wish me luck.
0,Morning. Going to Windermere today. Last day on holiday.  great time though.. But feeling fat!!
0,@geleenxx it doesnt work   oh and i totally forgot bout wat i had to do to you at lunch damnnn! dw i wont forget nxt time ;)
1,okay since almost everyones off that means bye2 for now 
1,@alittlebit Good morrrning Miss Hunt. Is it double English today? My favourite (apart from lunch break) 
1,Goodmorning 
0,"@LoonIEs_world  ur pic won't show, I really wanna see"
0,@AundreaFimbres how's the beach weather I'm goin on Sunday bc I can't see my daddy 
0,"Day #46 Not drinking is now causing interpersonal problems! I skipped my friends stag tonight to avoid temptation and he is pissed off, "
1,update tracks on the iPhone something crazy 
1,@gulpanag Try condensed milk - wayyy better. Nestle's makes some amazing stuff.  Sinnn!
1,"@bitchville you'll get it done, they don't call them &quot;all-nighters&quot; for no reason. get to it "
0,"have to get ready and go to work  what a pain, i hate work.... people can be so stupid, retail sucks..."
1,i watched david archuleta on Eat Bulaga. 
1,@IrishEagle Curious to what you will grade Star Trek and Terminator? 
0,@addikshun lol so you was here all along you just didnt love us enough to check in on us??  sometimes words CAN hurt lmao
1,is watching despereaux 
1,Watching bones til I have to start getting ready 
0,is studing for my science final tomorrow  
1,@rockwiththebest thanks... 
0,i dont feel well at all 
0,The only thing that makes this slightly less funny for me is knowing I'll end up on it for being an ass one day  http://is.gd/MOPA
0,"Aw, cute Hell's Kitchen dude is no longer cute.  #tobaccochewingdick"
0,i miss my CPMP family and dude 
0,"http://twitpic.com/6amxp - Phillies game, very very top, I'm scared of heights "
1,first workout at the peak on state.  actually a lot bigger in the inside.  kinda like the tardis. 
1,it's National Man Day...love the men in your life!  
1,Good Morning! My day off today 
1,@bbrathwaite @randomnickname If either of you had any idea of what I have further planned for my hobby...   Games aren't my endgame. hee!
1,@plasticpiranha He was my reason for even going too haha.  Shaun of the Dead was too epic haha 
0,laalalala. i'm bored.  tempted to go to the gym.
1,Anyone like Zoo Tycoon 2 or cats?  Or both?  Watch my videos please!   www.youtube.com/user/sweetcat113
0,raining again  why is Scotland's weather so unpredictable
0,For once...i tried to do something...I was supposed to...it ended with me almost forgetting to watch JB &amp; to get nothinm done! 
1,@thomaseroth I'll be there see you there 
1,"@dAlen Well it's better than &quot;potatoes&quot;. I get that sometimes too. &quot;No, see that's IDAHO&quot;. "
1,@gfalcone601 morning!  i've just made chocolate chip cakes  x
0,@Leena24 nope I can't  
1,@inesgharsallah or maybe pizza and chicken wings 
0,Sick yuck.  at least my baby is taking care of me.
0,@JonasRoxs4Ever lol yeah i'm sry  i hate commenting lol messaging is way better 4 me.
0,Only if I lived closer to VA beach.  I'd so be seeing my bb's today. Who I miss ohh soo freakin much...
1,will be on a &quot;twitter break&quot; until thursday...gotta reconnect with my family 
1,@MiriamCheah hello 
0,ughh. just got an email from my school teacher sayin print stuff for tuesday. I can't believe I have 2 go back already 
0,Heading back home  It was short but  it was lots of fun!
1,celebrate ffx with Kelli today!!!!!! YEA! 
0,I feel shame 
1,@BrittanyySnoww her private page is the one with john lennon on the backscreen.  her real page is @mileycyrus
1,"@KankzXD lol,thats what im actually going to do  i told mum im living with her til im like 40"
0,"@chasejarvis Problem is, I don't have an iPhone to take a mobile image... "
0,Started using Wesabe again....  Now i can see where all my money is going 
1,time for bed  .. night xx
0,At work still feeling like I'm being punched in the stomach... 
0,@inspiremetoday Can't see any comment. 
1,"@JODell_the3rd LOL, that's great!  I wear them all the time at work &amp; you can hear me coming, I'm sure my coworkers think the same thing "
1,"So got to hostel last night. Taxi driver charged me 80CHF=Â£45 for 10km!!! Walking to work in 15, get there early for some breakfast "
0,@SKquID you forgot your beef jerky! 
1,Have a great day everyone!!!  
1,Morning everyone - and thanks for the follow fridays 
0,Finally thru and waiting to board the plane. Man I'm runnin off of like 2 hours sleep  holdin off on coffee till we land.
0,"aww, Genie got bit by one of the more aggressive cats in the shelter this week  Happily though, I have been approved to adopt her!"
1,@georgebates Thanks! Free free to spread the word 
0,I feel sick   ..maybe I should've gotten some sleep.
0,Hiccups 
0,grad was fonominal! missed sytycd though 
1,@vonOBese freaking both. can't find one in China. pisses me off. 
0,Just had a really bad nightmare 
0,@Twilighter_Ox_ aww  sorry to here about that hun .... 
0,@jennimiller76 oh so its not in england thn  i got my hopes up for nothing 
1,@Adrojake online... Like mobile web  it's epic 
0,monster headache is making me want to cry or scream or any number of other things that will only make headache worse.  Sleep: only option.
1,"@TWalk Tombstone, Real Genius and Top Secret are close behind for sure.   I love him in Tombstone &quot;I'm your Huckleberry!&quot; lol"
1,"@jbrady87 Trying really hard to be sympathetic, with you laying at the beach and all! "
0,in the hotel room .. english people piss me off  shopping is going great though.. A&amp;F and tiffanys tomorrow!! 
0,Watching episodes of sex and the city feeling a lil out of it I completely lost my voice hopefully I don't have bronchitis 
0,One more freaking BBQ ticket!!  Agh.
0,lunch was uninspiring and unfilling today... 
0,Moving cubicles today. No more windows! 
1,@yarazura yara how to changes these background? 
0,Shut your face darren!  yes I did
0,missin her sooooo much right now 
1,@samanthadepanta Doing really well! I will stay here as long as is needed!  So you can definitely come and visit me!! Look forward too ...
1,@HanggiLove Love and best wishes to you and Kelly Devine tonight!!!!  I'm so happy for you! 
0,I need steel fucking plates around my house and a really intense security system to have peace of mind at night. I have neither. Ugh 
1,is gettin ready to go on a concert. with a really good company ..  can't wait
1,heading to La Guardia with Ev! 
1,"@jonasbrothers http://twitpic.com/6q1om - you're so beautiful guys! joe, you're hair is just perfect "
0,and i think i just crashed my phone!  things are not looking good... but in all situations we Thank God!! *Sigh*
0,"Ah, tryna make muh legs not hurt.  "
1,Has a bone to pick with TV right now 
1,At lunch with Sam. Getting a Maryland 
1,@SalioElSol08 When they were at the edge of the boat and he helped her on the rail and it seem like she was flying. that was so cute 
1,@StyleUnleashed I know! U have to sing at my wedding! And I also want u to be the critic too!  I'm serious about the singing tho!
1,It seems DT might be a fan of Ashes  Awww
1,Thinking I should start running home then I will be in better shape. Not a bad idea. I'm really shocked @ this nu finding. HA!!! 
1,"Had a great run with the gf through old st georges this morning, then went overboard @ fort st. Catherines...good times "
1,Laying in bed thinking about anyone and anything 
0,time to go to pudong airport 
0,"@theDebbyRyan big fan i didnt see you at the roxy  wish i could have. the only person i saw was matt, maybe that is because i was staring?"
0,about to start working on some hw that's due at 12midnite 
0,is going back to the philippines. not excited  wishing to stay in singapore and hoping to __________.
1,Thank you! More Please!  @moe67 @drew801 @tweetyfern @BBDishReporterX @jaimejoy7657 @taralynn87 @LindseyLee12 @tazziepoo3 @booklover4ever
0,good news : I just saved 60$. bad news : cleaning lady is not coming today 
0,i am bored 
1,@burtonct Milwaukee   Have fun in the 'born
0,@butadream thanks! i have exams coming up soon as well.  and my mum was freaking out thinking i had swine flu *shakes head*
0,@longm I thought I hear that too. 
0,still only two followers potentially there is no fame here 
0,@ampedxx whats wrong   everyone's not having a great night tonight.
0,I think im about the only teenage girl on earth who didn't watch the MTV movie awards last night... lol i meant to dvr it! 
1,"Wow. Other than the horribly reminiscent smell of my ex, awesome date. I give it an 8 on a 10- scale. "
0,So who all is still up? Im kinda lonely 
0,It's no longer sunny in Seattle.  http://tr.im/sunnyinseattle
0,"@amyn_8t cus Youre a poor, lonely child  Hahaha! What song is that? I forgot"
0,Am very boredd.. 
1,"@bittersweetgal since you're leaving pretty soon, i didnt want to burden u with a care package, but theres a surprise here for you "
0,"awesome cuddles, awesome weekend and it'll all be over tomorrow "
1,"Thank goodness, Twitter friends are giving me the scoop on the MTV Movie Awards, since I'm not home. "
1,I really wish I could have gotten more sleep. about to leave for ocean city. thank the lord it's not raining. 
1,@itsnotjustwine At least you didn't have to drive to get it.  Will cherish mine all the more.
1,is watching COFFEE PRINCE AND is loving it !!! 
0,last.fm won't let me listen to anymore music 
1,@boxofchocolates Way to go! Can not wait to see photos and hear more about them 
0,The only good thing about today's weather is I don't have to water the garden...The bad is the kids are stuck inside...   
1,Watching 'Meet the Spartans.' I've never seen it before... 
1,WOW its warm! sunbathing on my trampoline 
0,this isnt going very well  why is it taking so long?
0,"@laikas I think, I saw you at the table behind me (the last one?).  When the dancing began, we were leaving the party "
0,"I accidentally put sugar in my food instead of salt, so now I'm eating sweet fried rice  My clumsiness astounds me sometimes!!"
0,this week is gonna go slowwww 
0,last free day be4  sundance returns have alot 2 get done...I MISS my best friend 
0,@discosleeze Oh no!! That's awful 
1,Hanging with @marykayte tonight 
0,@a__brooke  everything ok?
1,Getting ready for the drupalcamp install party &amp; brygeeriskovlyst chipped in another cage for the geeks can you say &quot;Trippel Blond&quot;?  
1,"@ParasitkBass could be worse, it could be Ben Dover "
0,@Sararararara oh i sooo agree!!! i have just watched it and didnt enjoy it at all  xxxxxx
0,@blowmyheartupxx yeah nga!   what's your second choice?
1,"@MKDiMa I can do lunches tomorrow. Wed I'm gone again till the 15th... Long Beach, then L.A.! "
0,@JennaIsWriting It sounds like something out of a movie 
0,@MabelStanley i mostly saw people studying. whomp whomp 
0,is dreaming of the weekend... awake! 
1,"didnt realise it had been 8 days since i last twittered,where has the past week gone to lol "
1,@rihannadaily cool!! I hope this is the final one 
1,yeyy gonna be havin lunch soon then goin out  x
1,@TamekaRaymond Hi Tameka I been 2 busy 2 quote lately. #FF some funny guys off set @davidschneider @ omid9 @ronskanky &amp; @TracyAnnO and me 
1,@jordanknight ...in dhs case a wrong landing on a jump shot=a cronic bad knee now....However you pulled ur back take care of ur self 
0,needs a lunch buddy in Garhoud! 
1,"Morning all and have a good day, off out now, back later for more naked twittering   Watch this space!! :"
0,@MrsDrie2u i'm trying to not take you constant ditching of me personally 
1,@GeraldPope lol that sucks! well now you can laugh at yourself 
0,@sweetemmaxxx lol yeah making me hungry as well 
0,"@CCHS_science yeah it is a shame, because i just spent about an hour studying it "
1,"Relaxing in the beautiful Stratford, Connecticut. Pool? I think so. "
0,@YoungQ funny video... btw why did CrunchyK leave twitter??? 
1,just bought the most awesome pair of jeans from AE. Boyfriend jeans..make me smile 
1,@SukieBunny they're part of the petting zoo 
0,"@autumnashley Ugh, I can't even come  I made cute brownies and everything. Eff."
1,@JustBella hey  
0,just broke my first guitar string     Boo hoo... I should learn not to tighten the 1st when tuning the 3rd!
0,"@cmariex actually no joke, i dont even know any of his songs  and my physics examm is on wed  x"
1,@Pink gooorgeous. aww this made me smile. I wanna go to australia  the palm trees&lt;3
0,@Alexyz_Danine awww booboo  I kno the feeling. just remember everything happens for a reason!!
1,Applying for a PT job today  wish me luck?
1,@Mezandy @moopf  thanks for the FFs! 
1,another sexy tune to help you pass the time  http://blip.fm/~6gigw via @addthis
1,"i missed myy lil Jackiecake 2dayy. lol. nd Shanti,DD,Taje,Yams,Giselle,nd Gabby !   wont c u guyss till ATL."
1,LivingHandy.de 2.0 - stay tuned  - http://www.LivingHandy.de/
1,@MBWPodcast Hey Good Morning  It's been a while so I wanted to drop by and say HI !! Hope everything is going good for you &amp; the Family 
1,@thomasculver thomas is my faveee! 
0,http://twitpic.com/7spbt - Dead animal on the street. How sad 
0,Has Just Realised That Great Auntie Is Coming Up For A Week 2moro  Awesomee A Week Of Pushin 90 Year Olds In Wheelchairs 
1,@ellenfweber So you did your PhD at UBC? (so did I  - I also have taught  at UBC)
1,"@ddlovato i made a video for your little sister, please check it out http://tinyurl.com/lmwxe3, its against the haters! she is beautiful! "
1,Got a number at the bar! 
0,i have to get up so early and of course i cant sleep 
0,I so want that N97  but yeah my internet will fail 12:55. So had to do evrything through iPhone EDGE connection!
0,"@SoupAirCool ud be my #1, I'd let you where any colour boots u want ;) sowwie u missed it  bigger better opportunities soon!!!"
1,oh what a lazy day. no work. just watched rove and slept. 
0,@mskatrina25 YOU!!! YOU M.I.A AGAIN 
1,Aaahhhhh love the Penguins took the Cup to the Pirates Game!!!  Woo Woo.  
1,I'm ready 
0,Twitter is acting up like a little teenager  My posts won't update.... Hmm is there a total overload going on???
0,@tafygurl  no she hasnt and today is 9 weeks. So I have been watching her all day and tomorrow we wont be home  shes been pacing all day
0,@n33734 wipeouts like a game show where you have to complete a corse with activites. nope nothing good.  why ?
1,so tired...taking a nap 
0,"@bethmcgrath not yesterday beth, monday lmao :') but still eurrrghhh "
1,@germei thanks germei  it was a treat for all the toriphiles!
1,@MissShellBelle Tired! You? 
1,@KayleenDuhh im with you!!! 
1,Friends round lunchtime. Mike will clear up the rest of the Lalandii branches to save my itchy arms 
1,i am so sick! i am home with a cold. bla! i just bought Nat and Alex tour tickets though!!!!!!!!!  fanclub baby!!!
1,@indahtyas You're welcome! 
0,"Getting ready for school, then going "
0,I want to go ridin' with Bonnie this weekend...    Sounds wonderful and I have to WORK!
0,"OMG, it's JULY'S LAST DAY! "
0,@DustCakeBoy whats up?  why arent you in school?
0,I'm miserable when I can't function like I want to 
0,@madilovesmerder we gotta wait like till september for the next seaon..  do u watch pp?
1,@myzerowaste too right! Why am I not on there too? 
1,@Abcmsaj Or Cyanide and happiness 
0,missing watching him play.. gotta wait till next season! 
0,"@Taddy69 Flippin weather - was hoping to go out with my camera, but it's raining "
1,"TRISHHHHH, let me have yourrr beautiful porcelain skin "
1,@kgrigsby always a good choice 
1,"'make a little space to make a better place', Michael Jackson HEAL THE WORLD. -maybe he isnt all crazy  he is right here!"
0, I bet Andy thinks i'm a crazy loser http://tinyurl.com/op8w5a
0,Review of MSO Metropolis Osiris concert written - will post link when published. The review I wrote from the other day still isn't up yet 
0,"Working on a section of code which validates against code someone was going to check in thismorning - they're sick, and not here.  Great "
1,"@officialnjonas if you were nick jonas, you would tell me you love me "
1,@aplusk Realy heart felt 
1,Listening to old-school New Orleans jazz on my wat back to Tampa. 
0,"ive lost some contacts, dont know why "
0,@ahhrexxx Awww beh.. I hella miss you too 
1,"playing video games with her new hubby.  (yeah, we're geeks like that)"
1,"fell asleep to rain and woke up to rain...i have no idea why florida is called &quot;the sunshine state&quot; lol! oh well, movie day "
0,"46 people have whatched my photos, but only 13 are following me  Thank you 13 who are following me! â¥ xoxo"
1,"heading to shangrila,let's burn some fat   http://myloc.me/2LYz"
1,Photo: monorail cat  Itâs face makes me lol http://tumblr.com/xmc1ywhgf
1,aww hope you have lots of fun @ribbonsnroses! 
1,ayyyyyy. just got guestlisted..  making kandi for illuminate then school bleh.
1,i think im un grounded tommarrow aftee skool 
1,Rocky &amp; Bullwinkle I'd on  FTW!
0,@zombieassassin this is reddog187 I've been blocked from following @zombiemembers  on this account
0,this stupid cold is taking over me  I just want my bed now
0,job searching is not successful  i needs moneyyy!!!!
1,@souljaboytellem you play them video games...lol let it EASE YOUR MIND 
1,@Lovin_DEW Thank you 
0,"heading to Lochgilphead for the largest kids carnival yet... 160 drummers! and yes, it had to happen, it's pouring "
1,@jason_2008 @by_tor typical apple expensive but ultrathin and stylish  only prob is can't do Ctrl Alt &amp; Del - Doh!
0,@MrAdams517 but idk Still so many options is hard 2 come 2 ã  concrete decision. 
0,the weekend is almost over  doing some schoolwork... I really don't want to go to school tomorrow ... -.-
0,Its so gloomy 
0,"Drove 6 hours home from OKC tonight, not smart or safe, but was ready to be done with that trip...not so good, people were unbelievable "
1,"@hipsterplease ayup hipsterplease, please can you review our first cd? (myspace.com/scaredofdinosaurs) MUCH LOVE &lt;3 "
0,@euphorialuv Twitter won't let me DM you 
0,"@dukewysocki, i know youll understand this, i cant stop thinking about my grandparents  im getting married and i just want them around "
0,wrong shoes 
1,Elle Oh Vee Eee's  Just Another Word I'll Never Learn To Pronounce 
1,@qitty we could do a lunch time walk? 
1,"@leica0000 I use `wget` &amp; Terminal all the time but don't have a jailbroken iPod.  http://Instapaper.com was suggested, it's great so far."
1,@NoyaS but it's not a quizze... it's a... idk.. a note! yeah! it's a note...  see u soon 
0,burnt from layin out all day 
1,http://twitpic.com/3nail - Thank god for this stuff 
0,@AsheyPooh aaahh i know!! i was spose to but i had to take my dad to the airport.  next weeek fasho!
0,CRIED AND STILL CRYING FROM DROPPING OFF MY BROTHER FOR BASIC.......SEE U IN 20 WEEKS 
0,About to go to school. 
1,Walking around the grange grounds with maddie  i love carnivals!
1,@lovemarguerite Sangria is perfection!   I've had it there before it's awesome.
0,- who works on a Friday at midnight after working 47 hrs already in the week...ME!!! 
1,@Dayna_aka_Rowan You should top that with whipped cream. 
1,@saakura Yup.  Better than Apple! It might be UK only though.. http://bit.ly/HjoCi
1,@linkismyhero Ahh it's ok 
0,"@pinksweatshirt maybe lotsa punctuation, but not so much truth: &quot;Cera&quot; twitter ain't the real guy: http://bit.ly/Yn7hy "
0,is still not done  http://plurk.com/p/tqomg
0,my fish just died 
0,No pub quiz for me tonight  Will deffo have to go next week.
1,"@NikkiBenz i hope so, recorded the pit/was game to find out it didnt record... lucky it wasn't the leafs, i woulda lost it by now "
1,'Up-and-at-them'! (Said in an Arnold voice lol!;) Rise &amp; shine everyone ~ hope y'all have a fantastic day! 
0,After thousands of years ngayon lang ulit ako nag-Twitter. College is heavy! 
1,http://twitpic.com/7h0um - Emmi - The Dog from my Mother-in-law 
0,I forgot how good Pinkerton is.... too bad weezer sucks now 
0,@mileycyrus Ahh.. Now I'm sad because I was there just 2 days ago 
0,@gfalcone601 i join you in the sickness train!! it sucks 
1,Good Morning! Hope Everyone Is Enjoying This Beautiful Day 
0,Spilled coffee on myself. Waiting for sawa and going to elm. Need a lighter 
1,"@legospell ??????, ?????? ?????, ???????????? ???? ???. ??? ???? ? ???????? ???????: &quot;We're going to Russia, I'm very excited about that&quot; "
0,This is the first time since we've been married that I won't be sleeping next to my husband. 
0,spending mother's day at work   love you mom!
1,@1Republic Wake up and have a beautiful day! 
0,"@divascancook - prune juice. We mix with some apple juice &amp; call it &quot;magic juice&quot;. It's tough to go through, tho. "
0,"Not finish with the blogs comes another blogs...  huuu...Kompasiana, you're so demanding"
1,@AliBee16 looks like you brought the heat with you though 
0,@dansumption Slaughterhouse 5 is my current favourite book of all time (it varies). Heard that Guillermo Del Toro is making the film 
1,Go and visit www.myspace.com/daproyect and leave a comment or add us! Please? 
1,is yaya for the day  http://plurk.com/p/xskfd
1,At work with awesome kiddos 
0,@Swaybabes been watching loads of SON clips &amp; behind the scenes on youtube. Man i cant believe no more eps  Spashley 4ever lol
1,@RavenWoodSierra How do we know an update is really an update ...  ... ? Could it be something else?
0,Ugh. Monday 
0,@TheMegatronDon Any chance I can get a special screening? I missed out.... 
0,"Home. Ran some errands this morning, but didn't go to practice. Still not feeling too good...  Doing Physics Online now, unfortunately."
1,@Farctum was wondering what it was that looked like sliced up eggs with green outsides - impressive haul 
1,Apologies if any of this is scaring you @rachelhawley... Just ignore it for now  you'll do fine.
0,yay more storms and warning here in Central Illinois 
1,"@mykimmykim He did use some of your questions!! He credited people tonight. Trivia was good.  Alice20 won, ofc. Edward got 3rd place."
0,@laydmaxix yeaaah...sorry about that...i really shouldn't drink 
0,"Bored with all the Horo and Haruhi stuff... On the other side, Katawa Shoujo complete would be awesome, but i'll have to wait until 2010 "
0,Finally I got 148 on my storm! But it wiped everything off my phone 
0,WTF? I've taken 3 tylenol pm and am still wide awake. May not be getting up for that run afterall 
0,@alexisgirl94 yes i get excited when i know the answer but i'm always too slow 
1,@thewizardofaz Well at least it ended well! 
0,Back at the old grind! Weekends go way too fast! 
1,playing and singing some taylor swift on piano. she writes realli beautiful songs 
0,My Net-book run FL Studio 8. but she manage. 
0,Having a shattered iPhone screen is depressing...goin to get a new one Tuesday 
1,@ColorblindFish! I LOVE IT! Thank you! You guys seriously kick trash!! No other group would be so awesome! We're so lucky!  Andrea
0,@adamleber hey adam can u please post some of the tour videos up like sweet dreams break the ice and anything else! i miss them  and brit
1,Oh wow really that's tight 
1,@dangerradio just heard slow dance with a stranger in shoprite. it made food shopping fun lol  manda panda
0,Paki bowlers a bit too good for us..... 
0,The revising isn't going too well 
1,@andrewfallon...haha..true. did you see all of the split action on the patio? I would be excited if it weren't too easy. 
1,in tokyo omg its 4:56 pm 
0,Just hangin out with my lovely cozin! Gotta work tomorrow... Ugh 
0,Going in to work instead of snuggling with Jon.   Boo.
0,@HollywoodHames I'm so sorry about your grandpa.  My thoughts are with you.
0,All these tweets about Bamboozle makes me wanna go 
0,Is ecstatic about another revision fuelled day 
0,So I missed tpain. So mad 
1,ahaha i&lt;3 uncle guiseppe's 
1,"Hewwo bloo8bunny - (via iamhoodrich) HIYA, ANNAH. HOWï¿½RE YOUUUUU?!  http://tumblr.com/x1i1whxif"
0,@SweetEther gotta meet my girl @ the Westin. Her dude has a concert tonight.  Will let u kno but U absolutely HATE Scotts
1,Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.
1,"Time to go to work, see you all little later  Like tonight"
0,"with great power, comes great responsibility..hang in there grandpap "
1,"Hmm, the birds are singing. This can only mean it's time to go to bed "
0,@xo_mcflyandjb i know 
0,I fell!  Never run in flip-flops that are too big. Seriously. Don't.
0,@ContemptSlots don't forget the ones who start clapping and cheering before the final bar and stomp all over the final whole-notesÂ  Â  
0,Stuck in the airport and deprived of sleep due to Michaela's sudden burst of energy. I didn't want to miss church 
0,Not such a great birthday 
0,"On top of my surgery, I have a fat ulcer on my lip "
1,@gretawire Greta! Goodmornin! Plz mention Governor Palin webathon to retire her legal debt over at C4P 
0,@VampireKat I is ignoring you while hiding under the bed! Not comming out till you put dose teef away!       so there!
0,4 hours til wake up time...gotta work today 
1,"@spancha Thanks for taking a look, glad you liked it. all of the photos on there are for sale... Take care "
0,@leaveittoweaver  *raises a tiny glass for Bogey*
1,@gulpanag GO GURL!!!! ENFIELD!!! Which one are you getting???  I'd've never thought Gul would ride an enfield!
0,work alll day! bad night last night 
1,forgot my directions to work. And still made it in record time. Go me 
0,I feel really shit and old anxieties are reappearing 
1,@conye08 Happy Birthday! 
0,BABY COME BACK! I miss Rachael 
1,trying to find my life again 
0,"really, y did my gma get me an application for catos? I dont want to work!!! "
0,broke my case for my phone  oh well...I wanted a pink one anyway...so I guess it happened for a reason! LOL
0,@Isaaclim http://twitpic.com/7gb81 - baby octopus nice lorrrr. wa go sushi never call me i wannttttt 
0,this sucks. 
1,@greigematter Loong way to go yet - just set this up about a week ago.  I don't expect to be getting one in a hurry 
0,@DonnieWahlberg I missed them last night  but there for the most important part (at least to me) THE BLOCK! Think Full Service is new fav!
0,On my way to theraphy... I still feel like someone is shocking my throat 
0,I WANNA TAKE A NAP D: but i've got a lot to do 
0,@Galdra Are you where you are right now? In the libary with Galdra?? I'm bored 
1,@LauraStevens You are sooooo right. 
0,what?! no! where did the Eagles perform??  lucky.
1,is enjoying scheduling time to work out rather than team meetings 
0,"I'm heading out to the store in a few. Fun times!  God, it's times like this I wish I had a cell phone. I'll see y'all in a little while!"
1,time for the gym. in weekend mode 
1,Orientation Checkin: @AmyGrayVT is doing great in her changes/refunds role!!! 
0,@xwashy aww z3lteeny  anyways enjoy it &amp; try not saty away too long -_-
